,value
DAC,1
BF_BOF_CCS,1
biomass_plant_CCS,1
cement_post_comb,1
natural_gas_turbine_CCS,1
NG_DRI_CCS,1
SMR_CCS,1
biomass_boiler,1
biomass_boiler_DH,1
hard_coal_boiler_DH,1
natural_gas_boiler,1
natural_gas_boiler_DH,1
oil_boiler,1
oil_boiler_DH,1
waste_boiler_DH,1
BF_BOF,1
biomass_to_cement_fuel,1
cement_kiln,1
coal_to_cement_fuel,1
H2_DRI,1
hydrogen_to_cement_fuel,1
NG_DRI,1
waste_to_cement_fuel,1
electrolysis,1
fuel_cell,1
HDT_FCEV,1
hydrogen_FC_ship,1
electrode_boiler,1
electrode_boiler_DH,1
reservoir_hydro,1
run-of-river_hydro,1
pumped_hydro,1
ammonia_ICE_ship,1
diesel_ICE_ship,1
HDT_diesel,1
ICE_diesel,1
ICE_petrol,1
methanol_ICE_ship,1
anaerobic_digestion,1
EAF,1
industrial_gas_consumer,1
oil_storage,1
power_line,1
district_heating_grid,1
carbon_pipeline,1
hydrogen_pipeline,1
natural_gas_pipeline,1
oil_pipeline,1
biomethane_conversion,1
fischer_tropsch,1
gasification,1
haber_bosch,1
lng_terminal,1
methanation,1
methanol_from_biomass,1
methanol_from_hydrogen,1
methanol_from_natural_gas,1
oil_to_diesel_conversion,1
oil_to_gasoline_conversion,1
oil_to_kerosene_conversion,1
oil_to_naphtha_conversion,1
olefin_from_methanol,1
olefin_from_naphtha,1
pyrolysis,1
refining,1
SMR,1
BEV,1
HDT_BET,1
battery,1
biomass_plant,1
hard_coal_plant,1
heat_pump,1
heat_pump_DH,1
lignite_coal_plant,1
natural_gas_turbine,1
nuclear,1
oil_plant,1
waste_plant,1
photovoltaics,1
carbon_storage,1
natural_gas_storage,1
salt_cavern_storage,1
wind_offshore,1
wind_onshore,1
