,DAC,BF_BOF_CCS,biomass_plant_CCS,cement_post_comb,natural_gas_turbine_CCS,NG_DRI_CCS,SMR_CCS,biomass_boiler,biomass_boiler_DH,hard_coal_boiler_DH,natural_gas_boiler,natural_gas_boiler_DH,oil_boiler,oil_boiler_DH,waste_boiler_DH,BF_BOF,biomass_to_cement_fuel,cement_kiln,coal_to_cement_fuel,H2_DRI,hydrogen_to_cement_fuel,NG_DRI,waste_to_cement_fuel,electrolysis,fuel_cell,HDT_FCEV,hydrogen_FC_ship,electrode_boiler,electrode_boiler_DH,reservoir_hydro,run-of-river_hydro,pumped_hydro,ammonia_ICE_ship,diesel_ICE_ship,HDT_diesel,ICE_diesel,ICE_petrol,methanol_ICE_ship,anaerobic_digestion,EAF,industrial_gas_consumer,oil_storage,power_line,district_heating_grid,carbon_pipeline,hydrogen_pipeline,natural_gas_pipeline,oil_pipeline,biomethane_conversion,fischer_tropsch,gasification,haber_bosch,lng_terminal,methanation,methanol_from_biomass,methanol_from_hydrogen,methanol_from_natural_gas,oil_to_diesel_conversion,oil_to_gasoline_conversion,oil_to_kerosene_conversion,oil_to_naphtha_conversion,olefin_from_methanol,olefin_from_naphtha,pyrolysis,refining,SMR,BEV,HDT_BET,battery,biomass_plant,hard_coal_plant,heat_pump,heat_pump_DH,lignite_coal_plant,natural_gas_turbine,nuclear,oil_plant,waste_plant,photovoltaics,carbon_storage,natural_gas_storage,salt_cavern_storage,wind_offshore,wind_onshore
DAC,1.000001,0.174077656,0.174077656,0.160128154,0.174077656,0.174077656,0.166666667,0.087038828,0,0,0.087038828,0,0.087038828,0,0,0,0,0.083333333,0,0.080064077,0,0.080064077,0,0.087038828,0.087038828,0,0.083333333,0.174077656,0.087038828,0.091287093,0.091287093,0.091287093,0,0,0,0,0,0,0.160128154,0.083333333,0,0,0.091287093,0.087038828,0.091287093,0,0,0,0.083333333,0.15430335,0.083333333,0.083333333,0,0.083333333,0,0.160128154,0.083333333,0,0,0,0,0.083333333,0.083333333,0.077151675,0,0.083333333,0.087038828,0.087038828,0.091287093,0.087038828,0.087038828,0.174077656,0.087038828,0.087038828,0.087038828,0.087038828,0.087038828,0.087038828,0.091287093,0.091287093,0,0,0.091287093,0.091287093
BF_BOF_CCS,0.174077656,1.000001,1,0.919866211,1,1,0.957427108,0,0,0,0,0,0,0,0,0,0,0.087038828,0,0.083624201,0,0.083624201,0,0.090909091,0.090909091,0,0.087038828,0.090909091,0.090909091,0.095346259,0.095346259,0.095346259,0,0,0,0,0,0,0.083624201,0.087038828,0,0,0.095346259,0,0.095346259,0,0,0,0,0.161164593,0,0.087038828,0,0.087038828,0,0.167248402,0.087038828,0,0,0,0,0.087038828,0.087038828,0.080582296,0,0.087038828,0.090909091,0.090909091,0.095346259,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.095346259,0.095346259,0,0,0.095346259,0.095346259
biomass_plant_CCS,0.174077656,1,1.000001,0.919866211,1,1,0.957427108,0,0,0,0,0,0,0,0,0,0,0.087038828,0,0.083624201,0,0.083624201,0,0.090909091,0.090909091,0,0.087038828,0.090909091,0.090909091,0.095346259,0.095346259,0.095346259,0,0,0,0,0,0,0.083624201,0.087038828,0,0,0.095346259,0,0.095346259,0,0,0,0,0.161164593,0,0.087038828,0,0.087038828,0,0.167248402,0.087038828,0,0,0,0,0.087038828,0.087038828,0.080582296,0,0.087038828,0.090909091,0.090909091,0.095346259,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.095346259,0.095346259,0,0,0.095346259,0.095346259
cement_post_comb,0.160128154,0.919866211,0.919866211,1.000001,0.919866211,0.919866211,0.880704846,0,0.083624201,0.083624201,0,0.083624201,0,0.083624201,0.083624201,0,0.083624201,0.160128154,0.083624201,0.076923077,0.083624201,0.076923077,0.083624201,0.083624201,0.083624201,0,0.080064077,0.083624201,0.167248402,0.087705802,0.087705802,0.087705802,0,0,0,0,0,0,0.076923077,0.080064077,0,0,0.087705802,0.083624201,0.087705802,0,0,0,0,0.222374795,0,0.080064077,0,0.080064077,0.080064077,0.153846154,0.080064077,0,0,0,0,0.080064077,0.080064077,0.148249863,0,0.080064077,0.083624201,0.083624201,0.087705802,0.083624201,0.083624201,0.083624201,0.167248402,0.083624201,0.083624201,0.083624201,0.083624201,0.083624201,0.087705802,0.087705802,0,0,0.087705802,0.087705802
natural_gas_turbine_CCS,0.174077656,1,1,0.919866211,1.000001,1,0.957427108,0,0,0,0,0,0,0,0,0,0,0.087038828,0,0.083624201,0,0.083624201,0,0.090909091,0.090909091,0,0.087038828,0.090909091,0.090909091,0.095346259,0.095346259,0.095346259,0,0,0,0,0,0,0.083624201,0.087038828,0,0,0.095346259,0,0.095346259,0,0,0,0,0.161164593,0,0.087038828,0,0.087038828,0,0.167248402,0.087038828,0,0,0,0,0.087038828,0.087038828,0.080582296,0,0.087038828,0.090909091,0.090909091,0.095346259,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.095346259,0.095346259,0,0,0.095346259,0.095346259
NG_DRI_CCS,0.174077656,1,1,0.919866211,1,1.000001,0.957427108,0,0,0,0,0,0,0,0,0,0,0.087038828,0,0.083624201,0,0.083624201,0,0.090909091,0.090909091,0,0.087038828,0.090909091,0.090909091,0.095346259,0.095346259,0.095346259,0,0,0,0,0,0,0.083624201,0.087038828,0,0,0.095346259,0,0.095346259,0,0,0,0,0.161164593,0,0.087038828,0,0.087038828,0,0.167248402,0.087038828,0,0,0,0,0.087038828,0.087038828,0.080582296,0,0.087038828,0.090909091,0.090909091,0.095346259,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.095346259,0.095346259,0,0,0.095346259,0.095346259
SMR_CCS,0.166666667,0.957427108,0.957427108,0.880704846,0.957427108,0.957427108,1.000001,0,0,0,0.087038828,0.087038828,0,0,0,0,0,0.083333333,0,0.080064077,0,0.160128154,0,0.087038828,0.087038828,0,0.083333333,0.087038828,0.087038828,0.091287093,0.091287093,0.091287093,0,0,0,0,0,0,0.080064077,0.083333333,0.087038828,0,0.091287093,0,0.091287093,0,0.091287093,0,0.083333333,0.15430335,0.083333333,0.083333333,0.087038828,0.166666667,0,0.160128154,0.166666667,0,0,0,0,0.083333333,0.083333333,0.077151675,0,0.166666667,0.087038828,0.087038828,0.091287093,0.087038828,0.087038828,0.087038828,0.087038828,0.087038828,0.174077656,0.087038828,0.087038828,0.087038828,0.091287093,0.091287093,0.091287093,0,0.091287093,0.091287093
biomass_boiler,0.087038828,0,0,0,0,0,0,1.000001,0.909090909,0.818181818,0.909090909,0.818181818,0.909090909,0.818181818,0.818181818,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0.083624201,0,0,0,0,0.090909091,0,0,0,0,0.087038828,0,0.174077656,0,0,0,0.087038828,0,0,0,0,0,0,0,0,0.080582296,0,0,0,0,0,0.090909091,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0
biomass_boiler_DH,0,0,0,0.083624201,0,0,0,0.909090909,1.000001,0.909090909,0.818181818,0.909090909,0.818181818,0.909090909,0.909090909,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0.080582296,0.087038828,0,0,0,0.174077656,0,0,0,0,0,0,0,0,0.161164593,0,0,0,0,0,0.090909091,0,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0
hard_coal_boiler_DH,0,0,0,0.083624201,0,0,0,0.818181818,0.909090909,1.000001,0.818181818,0.909090909,0.818181818,0.909090909,0.909090909,0.090909091,0,0,0.090909091,0.083624201,0,0.083624201,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0.087038828,0,0,0,0.090909091,0,0,0,0,0,0.080582296,0,0,0,0,0.087038828,0,0,0,0,0,0,0,0,0.161164593,0,0,0,0,0,0,0.090909091,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0
