,value
DAC,1
BF_BOF_CCS,0.21
biomass_plant_CCS,0.21
cement_post_comb,0.21
natural_gas_turbine_CCS,0.21
NG_DRI_CCS,0.21
SMR_CCS,0.21
biomass_boiler,0.18
biomass_boiler_DH,0
hard_coal_boiler_DH,0
natural_gas_boiler,0.18
natural_gas_boiler_DH,0
oil_boiler,0.18
oil_boiler_DH,0
waste_boiler_DH,0
BF_BOF,0
biomass_to_cement_fuel,0
cement_kiln,0.18
coal_to_cement_fuel,0
H2_DRI,0.18
hydrogen_to_cement_fuel,0
NG_DRI,0.18
waste_to_cement_fuel,0
electrolysis,0.18
fuel_cell,0.18
HDT_FCEV,0
hydrogen_FC_ship,0.18
electrode_boiler,0.21
electrode_boiler_DH,0.18
reservoir_hydro,0.18
run-of-river_hydro,0.18
pumped_hydro,0.18
ammonia_ICE_ship,0
diesel_ICE_ship,0
HDT_diesel,0
ICE_diesel,0
ICE_petrol,0
methanol_ICE_ship,0
anaerobic_digestion,0.21
EAF,0.18
industrial_gas_consumer,0
oil_storage,0
power_line,0.18
district_heating_grid,0.18
carbon_pipeline,0.18
hydrogen_pipeline,0
natural_gas_pipeline,0
oil_pipeline,0
biomethane_conversion,0.18
fischer_tropsch,0.21
gasification,0.18
haber_bosch,0.18
lng_terminal,0
methanation,0.18
methanol_from_biomass,0
methanol_from_hydrogen,0.21
methanol_from_natural_gas,0.18
oil_to_diesel_conversion,0
oil_to_gasoline_conversion,0
oil_to_kerosene_conversion,0
oil_to_naphtha_conversion,0
olefin_from_methanol,0.18
olefin_from_naphtha,0.18
pyrolysis,0.18
refining,0
SMR,0.18
BEV,0.18
HDT_BET,0.18
battery,0.18
biomass_plant,0.18
hard_coal_plant,0.18
heat_pump,0.21
heat_pump_DH,0.18
lignite_coal_plant,0.18
natural_gas_turbine,0.18
nuclear,0.18
oil_plant,0.18
waste_plant,0.18
photovoltaics,0.18
carbon_storage,0.18
natural_gas_storage,0
salt_cavern_storage,0
wind_offshore,0.18
wind_onshore,0.18
